지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
21229,2017-01-01,4.6,1024.9,51,10.2,14.9,1.7,1,1.2,2.5,6,7.1
21229,2017-01-02,5.6,1018.3,52,11.9,14.9,2,1.2,1.7,3,6,8
21229,2017-01-03,7.5,1019.1,52,10.3,15,2.6,1.6,2.1,3.7,6.1,7.1
21229,2017-01-04,7.7,1021.2,58,9.1,15,3.1,1.9,2.6,4.4,6.5,9.1
21229,2017-01-05,9,1028.9,62,5.3,14.9,3.4,2.1,2.5,3.9,6.9,8
21229,2017-01-06,2.4,1028.1,53,6,14.9,2.3,1.4,2,2.9,7.5,9.1
21229,2017-01-07,,,,,,,,1,1.6,,8
21229,2017-01-08,5.5,1013.4,65,10.3,14.9,2,1.2,1.7,2.9,4.9,5.8
21229,2017-01-09,7.4,1010.4,69,8.7,14.9,3.1,1.9,3.1,5.2,6.2,8
21229,2017-01-10,10,1016,54,6.5,14.9,3.9,2.4,3.6,5.4,7.4,8
21229,2017-01-11,11,1018.5,56,3.9,14.7,4.2,2.6,3.4,5.5,7.4,8
21229,2017-01-12,10.9,1011,48,6,14.6,4.5,2.8,3.6,5.7,6.9,8
21229,2017-01-13,13.3,1009.4,59,3,14.4,5.4,3.2,4.1,7.2,8,9.1
21229,2017-01-14,14.7,1015.2,79,-1.2,14.2,6.6,4.2,5.4,8.2,8.6,9.1
21229,2017-01-15,11.4,1019.7,63,3.3,14.1,5.6,3.4,4.2,7.3,8.8,10.7
21229,2017-01-16,10.9,1024.5,62,4.4,14,5.4,3.3,4.1,7.7,8.9,10.7
21229,2017-01-17,4.4,1029.5,63,6,13.9,4.5,2.9,3.6,5.7,10.6,10.7
21229,2017-01-18,8.5,1026.1,50,7.7,14,2.9,1.8,2.5,3.7,7.7,9.1
21229,2017-01-19,3.2,1021.8,62,6.8,13.9,2,1.2,1.5,2.5,7,8
21229,2017-01-20,11.1,1012.9,72,4.8,13.8,5,3.1,6.5,12,7.5,9.1
21229,2017-01-21,6.6,1022.7,57,3.9,13.7,4.8,2.9,4.5,6.7,8.7,9.1
21229,2017-01-22,10.6,1018.2,71,1.9,13.6,4.7,2.9,4.1,7.3,7.1,9.1
21229,2017-01-23,8.1,1023.4,82,.2,13.5,5.4,3.3,3.7,7.2,8.7,9.1
21229,2017-01-24,7.9,1028.3,73,1.7,13.1,4.3,2.6,3,5.2,8.7,9.1
21229,2017-01-25,2.2,1030.2,48,4.8,13.6,2.3,1.4,2.2,3.4,7.9,9.1
21229,2017-01-26,8.4,1023.2,49,8.1,12.7,2.9,1.7,3.4,5.7,6.6,8
21229,2017-01-27,10.2,1019.9,52,7.2,11.5,5.1,3,3.8,6.7,8,10.7
21229,2017-01-28,2.3,1025.7,60,6.5,12.6,2.2,1.3,2.2,4.8,6.7,9.1
21229,2017-01-29,4.4,1017.2,62,9.4,11.9,1.1,.7,.8,1.4,6.1,9.1
21229,2017-01-30,11.2,1017,73,3.9,11.7,3.9,2.4,4.4,7.9,6.7,10.7
21229,2017-01-31,5.5,1024.4,53,5.1,13.1,3.2,2,2.9,4.6,8.1,10.7
